FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.125000000,0.000000000,0.000000000,0.000000000
0.125787579,0.000000000,0.000000000,0.000000000
0.126575158,0.000000000,0.000000000,0.000000000
0.127362736,0.000000000,0.000000000,0.000000000
0.128150315,0.000000000,0.000000000,0.000000000
0.128937894,0.000000000,0.000000000,0.000000000
0.129725473,0.000000000,0.000000000,0.000000000
0.130513051,0.000000000,0.000000000,0.000000000
0.131300630,0.000000000,0.000000000,0.000000000
0.132088209,0.000000000,0.000000000,0.000000000
0.132875788,0.000000000,0.000000000,0.000000000
0.133663366,0.000000000,0.000000000,0.000000000
0.134450945,0.000000000,0.000000000,0.000000000
0.135238524,0.000000000,0.000000000,0.000000000
0.136026103,0.000000000,0.000000000,0.000000000
0.136813681,0.000000000,0.000000000,0.000000000
0.137601260,0.000000000,0.000000000,0.000000000
0.138388839,0.000000000,0.000000000,0.000000000
0.139176418,0.000000000,0.000000000,0.000000000
0.139963996,0.000000000,0.000000000,0.000000000
0.140751575,0.000000000,0.000000000,0.000000000
0.141539154,0.000000000,0.000000000,0.000000000
0.142326733,0.000000000,0.000000000,0.000000000
0.143114311,0.000000000,0.000000000,0.000000000
0.143901890,0.000000000,0.000000000,0.000000000
0.144689469,0.000000000,0.000000000,0.000000000
0.145477048,0.000000000,0.000000000,0.000000000
0.146264626,0.000000000,0.000000000,0.000000000
0.147052205,0.000000000,0.000000000,0.000000000
0.147839784,0.000000000,0.000000000,0.000000000
0.148627363,0.000000000,0.000000000,0.000000000
0.149414941,0.000000000,0.000000000,0.000000000
0.150202520,0.000000000,0.000000000,0.000000000
0.150990099,0.000000000,0.000000000,0.000000000
0.151777678,0.000000000,0.000000000,0.000000000
0.152565257,0.000000000,0.000000000,0.000000000
0.153352835,0.000000000,0.000000000,0.000000000
0.154140414,0.000000000,0.000000000,0.000000000
0.154927993,0.000000000,0.000000000,0.000000000
0.155715572,0.000000000,0.000000000,0.000000000
0.156503150,0.000000000,0.000000000,0.000000000
0.157290729,0.000000000,0.000000000,0.000000000
0.158078308,0.000000000,0.000000000,0.000000000
0.158865887,0.000000000,0.000000000,0.000000000
0.159653465,0.000000000,0.000000000,0.000000000
0.160441044,0.000000000,0.000000000,0.000000000
0.161228623,0.000000000,0.000000000,0.000000000
0.162016202,0.000000000,0.000000000,0.000000000
0.162803780,0.000000000,0.000000000,0.000000000
0.163591359,0.000000000,0.000000000,0.000000000
0.164378938,0.000000000,0.000000000,0.000000000
0.165166517,0.000000000,0.000000000,0.000000000
0.165954095,0.000000000,0.000000000,0.000000000
0.166741674,0.000000000,0.000000000,0.000000000
0.167529253,0.000000000,0.000000000,0.000000000
0.168316832,0.000000000,0.000000000,0.000000000
0.169104410,0.000000000,0.000000000,0.000000000
0.169891989,0.000000000,0.000000000,0.000000000
0.170679568,0.000000000,0.000000000,0.000000000
0.171467147,0.000000000,0.000000000,0.000000000
0.172254725,0.000000000,0.000000000,0.000000000
0.173042304,0.000000000,0.000000000,0.000000000
0.173829883,0.000000000,0.000000000,0.000000000
0.174617462,0.000000000,0.000000000,0.000000000
0.175405041,0.000000000,0.000000000,0.000000000
0.176192619,0.000000000,0.000000000,0.000000000
0.176980198,0.000000000,0.000000000,0.000000000
0.177767777,0.000000000,0.000000000,0.000000000
0.178555356,0.000000000,0.000000000,0.000000000
0.179342934,0.000000000,0.000000000,0.000000000
0.180130513,0.000000000,0.000000000,0.000000000
0.180918092,0.000000000,0.000000000,0.000000000
0.181705671,0.000000000,0.000000000,0.000000000
0.182493249,0.000000000,0.000000000,0.000000000
0.183280828,0.000000000,0.000000000,0.000000000
0.184068407,0.000000000,0.000000000,0.000000000
0.184855986,0.000000000,0.000000000,0.000000000
0.185643564,0.000000000,0.000000000,0.000000000
0.186431143,0.000000000,0.000000000,0.000000000
0.187218722,0.000000000,0.000000000,0.000000000
0.188006301,0.000000000,0.000000000,0.000000000
0.188793879,0.000000000,0.000000000,0.000000000
0.189581458,0.000000000,0.000000000,0.000000000
0.190369037,0.000000000,0.000000000,0.000000000
0.191156616,0.000000000,0.000000000,0.000000000
0.191944194,0.000000000,0.000000000,0.000000000
0.192731773,0.000000000,0.000000000,0.000000000
0.193519352,0.000000000,0.000000000,0.000000000
0.194306931,0.000000000,0.000000000,0.000000000
0.195094509,0.000000000,0.000000000,0.000000000
0.195882088,0.000000000,0.000000000,0.000000000
0.196669667,0.000000000,0.000000000,0.000000000
0.197457246,0.000000000,0.000000000,0.000000000
0.198244824,0.000000000,0.000000000,0.000000000
0.199032403,0.000000000,0.000000000,0.000000000
0.199819982,0.000000000,0.000000000,0.000000000
0.200607561,0.000000000,0.000000000,0.000000000
0.201395140,0.000000000,0.000000000,0.000000000
0.202182718,0.000000000,0.000000000,0.000000000
0.202970297,0.000000000,0.000000000,0.000000000
0.203757876,0.000000000,0.000000000,0.000000000
0.204545455,0.000000000,0.000000000,0.000000000
0.205333033,0.000000000,0.000000000,0.000000000
0.206120612,0.000000000,0.000000000,0.000000000
0.206908191,0.000000000,0.000000000,0.000000000
0.207695770,0.000000000,0.000000000,0.000000000
0.208483348,0.000000000,0.000000000,0.000000000
0.209270927,0.000000000,0.000000000,0.000000000
0.210058506,0.000000000,0.000000000,0.000000000
0.210846085,0.000000000,0.000000000,0.000000000
0.211633663,0.000000000,0.000000000,0.000000000
0.212421242,0.000000000,0.000000000,0.000000000
